account,mean_trades,mean_volume_usd,mean_pnl,mean_fee,cluster
0x083384f897ee0f19899168e3b1bec365f52a9012,1909.0,30848631.985,800114.9099895,3702.6561519999996,0
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,2426.6666666666665,4011829.22,15961.773504666666,909.9459628433333,2
0x271b280974205ca63b716753467d5a371de622ab,952.25,8468360.105,-17609.0478295,2320.2457125,2
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,4437.0,2252340.7,44154.93818466667,739.4557888169667,2
0x2c229d22b100a7beb69122eed721cee9b24011dd,1079.6666666666667,3388960.066666667,56219.334998,1036.065574,2
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,116.42857142857143,201414.5714285714,-4457.657140857143,21.010680482857143,2
0x39cef799f8b69da1995852eea189df24eb5cae3c,1794.5,8596687.709999999,7228.459668000001,729.328563035,2
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,166.0,571948.23,26748.1236215,88.13708795849999,2
0x420ab45e0bd8863569a5efbb9c05d91f40624641,191.5,993763.805,99752.79636600001,133.9835444895,2
0x430f09841d65beb3f27765503d0f850b8bce7713,247.4,593221.844,83308.3744682,149.4013862,2
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,2839.6666666666665,1469609.6333333335,34447.905387,410.2821737273,2
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,1452.0,13190983.083333334,225915.68354766667,2675.3307980633335,2
0x4f93fead39b70a1824f981a54d4e55b278e9f760,1516.8,25934505.856,61795.173943199996,8144.893480600001,2
0x513b8629fe877bb581bf244e326a047b249c4ff1,4078.6666666666665,140292185.45333335,280140.85173866665,25474.880963896667,1
0x6d6a4b953f202f8df5bed40692e7fd865318264a,325.0,242685.83666666667,36243.738924,62.27869231079999,2
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,530.0,3824833.64,143118.52197166666,517.14575543,2
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,476.6666666666667,1017048.11,134337.168053,96.67034938666666,2
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1978.6,5145899.448,75819.0813422,519.051828336,2
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,779.5,2922242.225,7450.2215235,390.10845148,2
0x8170715b3b381dffb7062c0298972d4727a0a63b,1533.6666666666667,3381252.7099999995,-55873.70826033334,526.4618173066666,2
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,637.0,3999724.456666667,21837.885968666666,1128.2940728600001,2
0x8477e447846c758f5a675856001ea72298fd9cb5,3749.5,3076196.71,10979.252244,948.1357738675,2
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,1017.3333333333334,3664118.58,42192.98071133333,940.6529330866666,2
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,5201.666666666667,6622735.993333333,35434.291752,762.6518110347333,2
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,139.0,287269.8,24282.161424,63.31266817,2
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,187.66666666666666,559141.9066666666,22615.206510333333,182.90975487,2
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,267.0,2224161.63,10879.4158765,270.87280472320003,2
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,2455.5,9423927.538333332,357230.4329481667,2665.8863753033334,0
0xb899e522b5715391ae1d4f137653e7906c5e2115,4838.0,108877041.1,22488.500821,28643.173715,1
0xbaaaf6571ab7d571043ff1e313a9609a10637864,10596.0,34018170.120000005,470081.90311,4298.3528331095,0
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,880.3333333333334,6912463.903333333,73506.35395099998,1591.0328281433333,2
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,13394.666666666666,24702603.48,278693.5176923333,4450.96656965,0
