cluster,sent_bin,avg_pnl,avg_volume_usd,count_days
0,fear,525149.0355478572,26349263.85714286,2
0,neutral,31370.842478500002,8116639.445,2
0,greed,445267.96079325007,14926713.4975,2
1,fear,287637.01867900003,176342088.45666668,2
1,neutral,,,0
1,greed,0.0,727332.09,1
2,fear,47503.83475182978,6403460.715744681,2
2,neutral,10684.02183088889,1907318.0244444443,3
2,greed,54667.40278,2859322.388275862,2
